iso_a2,cases,country,iso_a3
AF,83,Afghanistan,AFG
AL,22,Albania,ALB
BD,26,Bangladesh,BGD
BG,356,Bulgaria,BGR
BY,400,Belarus,BLR
CN,79,China,CHN
GH,544,Ghana,GHA
HT,339,Haiti,HTI
ID,1777,Indonesia,IDN
IN,46,India,IND
KH,1000,Cambodia,KHM
KZ,222,Kazakhstan,KAZ
MD,4504,Moldova,MDA
MG,94,Madagascar,MDG
MY,930,Malaysia,MYS
PH,1988,Philippines,PHL
RO,259,Romania,ROU
SA,278,Saudi Arabia,SAU
SN,370,Senegal,SEN
TH,391,Thailand,THA
TJ,54,Tajikistan,TJK
TM,26,Turkmenistan,TKM
UA,5399,Ukraine,UKR
UG,151,Uganda,UGA
US,12512,United States of America,USA
UZ,193,Uzbekistan,UZB
VN,16,Viet Nam,VNM
